,adj.P.Val,P.Value,t,B,logFC
PELP1,1.58E-05,1.46E-06,5.0217766,4.503029,0.23049753
PIGZ,1.58E-05,1.46E-06,5.0225359,4.506283,0.20316903
SMC4,1.58E-05,1.46E-06,5.0224128,4.505755,0.16069832
GARS,1.59E-05,1.47E-06,-5.0198044,4.49458,-0.28033655
HPS1,1.59E-05,1.47E-06,-5.019954,4.49522,-0.13256328
MGAT4A,1.59E-05,1.47E-06,-5.0208297,4.498972,-0.18317398
CBFA2T2,1.60E-05,1.48E-06,5.0192421,4.492171,0.09842905
TTC33,1.61E-05,1.49E-06,5.0169071,4.48217,0.24034345
C11ORF45,1.62E-05,1.50E-06,5.0161339,4.47886,0.20360794
RAB40B,1.62E-05,1.50E-06,5.0159409,4.478033,0.42244131
C11ORF38,1.63E-05,1.51E-06,-5.0149654,4.473857,-0.20991524
CDH23,1.64E-05,1.53E-06,5.0120529,4.461391,0.1697232
COQ3,1.64E-05,1.52E-06,5.0132556,4.466538,0.29812776
HS.527669,1.64E-05,1.52E-06,5.0131474,4.466075,0.12240601
OSM,1.64E-05,1.52E-06,-5.0124483,4.463083,-0.12800419
TMEM183B,1.65E-05,1.53E-06,-5.0111602,4.457571,-0.25967469
COG6,1.66E-05,1.54E-06,5.0101304,4.453166,0.2321438
LEMD2,1.68E-05,1.55E-06,-5.0077819,4.44312,-0.17416216
PACSIN3,1.68E-05,1.56E-06,5.0074871,4.44186,0.34504048
AGTPBP1,1.72E-05,1.60E-06,-5.0013865,4.415782,-0.25623896
CCDC32,1.72E-05,1.60E-06,5.0009515,4.413924,0.28926906
PDS5A,1.72E-05,1.60E-06,-5.0017796,4.417462,-0.18345816
FBXO30,1.73E-05,1.61E-06,4.9998636,4.409276,0.22921115
SKP2,1.73E-05,1.60E-06,5.0007393,4.413017,0.11034888
UQCRQ,1.73E-05,1.61E-06,5.0002097,4.410755,0.21090677
HEATR2,1.74E-05,1.61E-06,4.9992141,4.406501,0.20361505
KIAA1244,1.74E-05,1.62E-06,4.9989234,4.40526,0.21522879
CCR2,1.76E-05,1.64E-06,-4.9953681,4.390078,-0.08055962
KIAA1267,1.76E-05,1.64E-06,4.9960072,4.392807,0.17013188
PIAS4,1.76E-05,1.64E-06,-4.9963362,4.394211,-0.23313329
SRPR,1.79E-05,1.67E-06,-4.9920955,4.37611,-0.21093661
WDR13,1.79E-05,1.67E-06,-4.991993,4.375673,-0.19631752
PIGO,1.80E-05,1.68E-06,-4.9904239,4.368978,-0.10109341
PLD3,1.81E-05,1.68E-06,-4.9896006,4.365466,-0.19756196
CFI,1.82E-05,1.70E-06,-4.987693,4.35733,-0.26148942
POLR2D,1.82E-05,1.69E-06,-4.9884786,4.36068,-0.21809182
PMVK,1.83E-05,1.70E-06,-4.9870088,4.354413,-0.29750052
SUPT3H,1.83E-05,1.71E-06,4.9857892,4.349213,0.12933877
UBAC1,1.83E-05,1.71E-06,4.9868758,4.353845,0.24845198
ZNF561,1.83E-05,1.71E-06,4.9866646,4.352945,0.19684384
BMF,1.84E-05,1.72E-06,4.9845932,4.344114,0.10056239
PTGDS,1.85E-05,1.73E-06,-4.9839556,4.341397,-0.42312014
TCEB3,1.85E-05,1.73E-06,-4.9838168,4.340805,-0.20094874
LTB4R,1.86E-05,1.74E-06,-4.9820479,4.333267,-0.17549874
TPMT,1.86E-05,1.74E-06,-4.9822362,4.334069,-0.24000311
CD300LG,1.87E-05,1.75E-06,-4.9808525,4.328173,-0.45404912
SNX10,1.87E-05,1.75E-06,-4.9806184,4.327176,-0.21112854
ELK4,1.88E-05,1.76E-06,-4.9795323,4.322549,-0.09961229
RPLP0,1.89E-05,1.77E-06,-4.9784559,4.317965,-0.42484286
CCBL1,1.90E-05,1.78E-06,-4.9774816,4.313816,-0.21729059
UBE2O,1.90E-05,1.78E-06,4.9776726,4.314629,0.22535468
F2RL2,1.91E-05,1.79E-06,4.9763986,4.309204,0.13849879
AXIN1,1.92E-05,1.80E-06,-4.9745096,4.301163,-0.26609925
ZSWIM6,1.92E-05,1.79E-06,-4.9752731,4.304413,-0.24893167
AMY2B,1.94E-05,1.82E-06,4.9717861,4.289573,0.31926676
DHTKD1,1.94E-05,1.82E-06,4.9724896,4.292566,0.29332249
TJAP1,1.94E-05,1.82E-06,4.9715368,4.288512,0.21030958
POLB,1.96E-05,1.84E-06,4.9691498,4.278358,0.26616775
KIAA1107,1.97E-05,1.85E-06,4.9684677,4.275457,0.12644276
BOLA1,1.98E-05,1.86E-06,4.9668274,4.268482,0.18582487
SHE,1.99E-05,1.87E-06,-4.9663952,4.266645,-0.28788871
TRAPPC2L,1.99E-05,1.87E-06,4.9659877,4.264912,0.30511946
ZFP161,1.99E-05,1.87E-06,4.9662525,4.266038,0.16154881
C20ORF43,2.01E-05,1.89E-06,4.9638895,4.255994,0.15646337
C2,2.04E-05,1.92E-06,-4.9604024,4.241177,-0.17012162
CNBP,2.04E-05,1.92E-06,4.9598639,4.238889,0.25823971
RAB38,2.04E-05,1.91E-06,-4.9606185,4.242095,-0.20778076
TMEM159,2.04E-05,1.92E-06,4.9603762,4.241066,0.40565198
CKAP4,2.05E-05,1.93E-06,-4.9591844,4.236004,-0.27332138
RIC8A,2.05E-05,1.93E-06,-4.959196,4.236053,-0.21196996
SETBP1,2.05E-05,1.93E-06,4.958541,4.233271,0.27942957
LRRC51,2.07E-05,1.95E-06,4.9567636,4.225724,0.131793
C10ORF67,2.08E-05,1.96E-06,4.9551765,4.218986,0.20881237
EHD3,2.09E-05,1.97E-06,4.9545297,4.216241,0.27643317
WDR45L,2.09E-05,1.97E-06,-4.9539856,4.213932,-0.21843091
C16ORF72,2.10E-05,1.98E-06,-4.9526657,4.208331,-0.1853503
ILF3,2.10E-05,1.98E-06,-4.9526062,4.208078,-0.15046708
TLR4,2.10E-05,1.99E-06,-4.9522766,4.206679,-0.16206094
KIAA1271,2.11E-05,1.99E-06,-4.9519134,4.205139,-0.14082646
LOC641825,2.11E-05,1.99E-06,4.9516399,4.203978,0.33161226
ARNT2,2.12E-05,2.01E-06,4.9500444,4.19721,0.19100705
CRYBG3,2.12E-05,2.00E-06,4.9502995,4.198292,0.15177351
C15ORF40,2.13E-05,2.02E-06,4.9488929,4.192326,0.1463023
ANK1,2.14E-05,2.03E-06,4.9475907,4.186804,0.24904085
PH-4,2.14E-05,2.03E-06,4.9476944,4.187244,0.17444123
DAB2,2.15E-05,2.04E-06,-4.9464957,4.182162,-0.33227315
HSF4,2.15E-05,2.04E-06,4.9463597,4.181586,0.18165523
ABCB7,2.16E-05,2.05E-06,4.9451849,4.176605,0.28314935
KCNIP3,2.16E-05,2.04E-06,-4.9462648,4.181183,-0.13535266
ZNF507,2.17E-05,2.06E-06,4.9445553,4.173937,0.14237738
AQP4,2.18E-05,2.06E-06,-4.9436147,4.169951,-0.20864855
AKAP8L,2.20E-05,2.08E-06,-4.9414433,4.160751,-0.27959899
OSAP,2.22E-05,2.11E-06,4.9386626,4.148973,0.17892624
PSMB9,2.22E-05,2.11E-06,-4.9390104,4.150446,-0.24300023
EFTUD2,2.25E-05,2.14E-06,-4.9358221,4.136948,-0.22980069
FARP1,2.25E-05,2.14E-06,4.9355972,4.135995,0.3592766
C15ORF59,2.26E-05,2.14E-06,-4.9352161,4.134382,-0.31464658
HS.28327,2.26E-05,2.14E-06,4.9351345,4.134037,0.15542252
HS.303060,2.26E-05,2.15E-06,4.934479,4.131263,0.21719201
HS.497591,2.26E-05,2.15E-06,-4.9341512,4.129875,-0.31304303
MSRB2,2.26E-05,2.14E-06,4.9352106,4.134359,0.21452727
SLC16A14,2.26E-05,2.15E-06,4.934466,4.131208,0.14620642
CPE,2.27E-05,2.16E-06,4.933236,4.126003,0.43128788
FAM81A,2.27E-05,2.16E-06,-4.9329242,4.124684,-0.20839375
SLC41A3,2.27E-05,2.15E-06,-4.9339324,4.12895,-0.18590435
ESD,2.28E-05,2.17E-06,4.9323399,4.122211,0.20520591
CEP290,2.29E-05,2.18E-06,4.9314455,4.118428,0.17779952
HS.370423,2.29E-05,2.18E-06,4.9309435,4.116304,0.15438565
TUBE1,2.29E-05,2.17E-06,4.9317382,4.119666,0.32263735
ELOVL5,2.31E-05,2.20E-06,-4.9294071,4.109806,-0.37767616
COQ6,2.32E-05,2.21E-06,4.9275377,4.101902,0.22583107
GPR124,2.32E-05,2.21E-06,4.9281872,4.104648,0.26226748
KLRG1,2.32E-05,2.21E-06,4.9283841,4.105481,0.14725357
HIC2,2.33E-05,2.22E-06,-4.9272475,4.100675,-0.1828703
LOC283174,2.34E-05,2.23E-06,-4.9258226,4.094652,-0.225357
CCDC51,2.37E-05,2.27E-06,4.9223726,4.080073,0.19111911
CETP,2.37E-05,2.27E-06,-4.9223283,4.079886,-0.14329611
FHIT,2.37E-05,2.26E-06,4.9225478,4.080813,0.20761846
ITFG2,2.38E-05,2.27E-06,4.9218659,4.077933,0.20202874
C16ORF87,2.41E-05,2.30E-06,4.9187746,4.064877,0.24862803
RARRES3,2.41E-05,2.30E-06,-4.9192763,4.066995,-0.49655698
FAM155B,2.42E-05,2.31E-06,-4.9178609,4.061019,-0.1656336
SMAP1,2.42E-05,2.31E-06,4.9175608,4.059752,0.17326272
VGLL3,2.42E-05,2.31E-06,-4.9175026,4.059507,-0.18919604
LOC643293,2.43E-05,2.32E-06,4.9169039,4.056979,0.10602415
FBL,2.45E-05,2.34E-06,-4.9145337,4.046975,-0.22094577
WDR59,2.45E-05,2.34E-06,4.9146232,4.047354,0.22395423
C2ORF18,2.47E-05,2.36E-06,-4.9129834,4.040434,-0.22027357
ESRRAP2,2.48E-05,2.38E-06,-4.9113044,4.033352,-0.24053988
SNRPA1,2.51E-05,2.40E-06,-4.9091086,4.024092,-0.25975108
SETD3,2.52E-05,2.41E-06,4.9081123,4.019892,0.17675863
ZNF234,2.53E-05,2.42E-06,4.9072994,4.016465,0.17571524
HS3ST2,2.54E-05,2.43E-06,-4.9062176,4.011905,-0.12112252
SNCAIP,2.54E-05,2.43E-06,4.9060286,4.011108,0.23911819
HS.137206,2.55E-05,2.44E-06,4.9051179,4.00727,0.21947498
ZER1,2.55E-05,2.44E-06,4.9052934,4.00801,0.2208025
EDN1,2.56E-05,2.46E-06,-4.903415,4.000095,-0.3528334
ZDHHC15,2.56E-05,2.45E-06,4.9041292,4.003104,0.17326701
ZNF25,2.56E-05,2.45E-06,4.9040743,4.002873,0.28942206
C11ORF71,2.57E-05,2.47E-06,4.9028112,3.997551,0.230172
HS.325015,2.57E-05,2.47E-06,4.9026541,3.99689,0.10618987
ZNF12,2.57E-05,2.47E-06,4.9024073,3.99585,0.18097932
C3ORF33,2.60E-05,2.50E-06,4.899587,3.983973,0.20024336
PTRH1,2.60E-05,2.50E-06,-4.9002903,3.986934,-0.2939872
SLAIN1,2.60E-05,2.50E-06,4.9000338,3.985854,0.17877792
CD52,2.62E-05,2.53E-06,-4.8975484,3.97539,-0.30202212
GNMT,2.62E-05,2.52E-06,-4.8983608,3.97881,-0.18580768
ZNF491,2.62E-05,2.52E-06,4.8979078,3.976903,0.10635727
LRRCC1,2.63E-05,2.53E-06,4.8968395,3.972406,0.18644581
TSNAX,2.63E-05,2.53E-06,4.8971562,3.973739,0.26231263
AGPAT9,2.64E-05,2.54E-06,4.8963867,3.9705,0.32361781
KRCC1,2.64E-05,2.55E-06,4.8954901,3.966727,0.25291123
MYO9A,2.64E-05,2.55E-06,-4.8955558,3.967004,-0.20257012
S100A4,2.64E-05,2.55E-06,-4.8956002,3.967191,-0.44044061
CHKB,2.65E-05,2.56E-06,4.8947641,3.963672,0.21719675
PNPLA7,2.65E-05,2.56E-06,4.8945592,3.96281,0.4980064
MED23,2.66E-05,2.57E-06,4.8937686,3.959484,0.12296801
KCMF1,2.67E-05,2.58E-06,-4.8927303,3.955116,-0.13538338
LOC440349,2.67E-05,2.58E-06,-4.8925664,3.954427,-0.14411903
LOC645863,2.67E-05,2.57E-06,4.8933821,3.957858,0.1545813
A4GALT,2.69E-05,2.60E-06,-4.8906157,3.946223,-0.43560559
CPNE3,2.69E-05,2.59E-06,4.8915352,3.95009,0.27387
FAM57A,2.69E-05,2.60E-06,-4.8913083,3.949135,-0.2054641
HKR1,2.69E-05,2.59E-06,4.89145,3.949731,0.17665766
CEP57,2.70E-05,2.61E-06,4.8902554,3.944708,0.18200624
BHMT2,2.75E-05,2.66E-06,-4.8859608,3.926655,-0.17818119
RTN4R,2.75E-05,2.66E-06,4.8853939,3.924273,0.14719706
DOCK10,2.76E-05,2.67E-06,-4.88483,3.921904,-0.21027894
LINGO4,2.76E-05,2.67E-06,4.8848417,3.921953,0.30100468
GDF10,2.79E-05,2.70E-06,4.8822872,3.911223,0.19443187
CCDC136,2.80E-05,2.71E-06,4.8810769,3.90614,0.4041678
KPNA4,2.80E-05,2.71E-06,4.8816057,3.90836,0.26921488
PEBP4,2.80E-05,2.71E-06,-4.881086,3.906178,-0.57855176
CHMP2A,2.82E-05,2.73E-06,4.8795761,3.899838,0.16165903
KIAA1688,2.82E-05,2.73E-06,-4.8794537,3.899325,-0.18996961
BBS1,2.84E-05,2.76E-06,4.8776198,3.891627,0.21385114
LAMA4,2.91E-05,2.83E-06,4.8716783,3.866701,0.31555135
MRPL1,2.91E-05,2.82E-06,4.8721721,3.868772,0.29244257
STIL,2.91E-05,2.83E-06,4.8716937,3.866765,0.23324608
TMEM177,2.91E-05,2.82E-06,-4.8722801,3.869225,-0.18630592
CDCA2,2.92E-05,2.84E-06,-4.8709014,3.863443,-0.42466568
DYRK3,2.92E-05,2.83E-06,4.8713275,3.86523,0.12453071
ACBD5,2.94E-05,2.86E-06,4.8691208,3.855978,0.18268152
LOC648057,2.94E-05,2.86E-06,4.8690963,3.855876,0.25595
SLC38A7,2.97E-05,2.89E-06,4.8667125,3.845885,0.19957039
GNRH1,2.98E-05,2.90E-06,4.8657224,3.841737,0.16008015
CIR,2.99E-05,2.91E-06,4.865412,3.840436,0.27048098
HIBCH,3.00E-05,2.92E-06,4.8643143,3.835838,0.30618771
SH3BGR,3.00E-05,2.91E-06,4.8647412,3.837626,0.27370045
C18ORF8,3.04E-05,2.96E-06,-4.8614265,3.823744,-0.19265432
MAT2B,3.05E-05,2.97E-06,4.8601886,3.818562,0.18721966
SDC2,3.10E-05,3.02E-06,4.856679,3.803874,0.24484303
GNPNAT1,3.13E-05,3.05E-06,-4.8542805,3.79384,-0.19870341
RNF24,3.13E-05,3.04E-06,-4.8546962,3.795579,-0.21276038
DPF3,3.14E-05,3.07E-06,4.8528983,3.78806,0.27977445
FKBP14,3.14E-05,3.06E-06,-4.8537976,3.791821,-0.33877047
RBBP9,3.14E-05,3.07E-06,4.852938,3.788226,0.13456235
TMUB2,3.14E-05,3.07E-06,-4.8530149,3.788547,-0.12437508
YIPF1,3.14E-05,3.06E-06,-4.853448,3.790358,-0.18015643
ZNF71,3.14E-05,3.06E-06,4.8534958,3.790558,0.40760303
PLEKHA5,3.15E-05,3.08E-06,4.8523947,3.785954,0.47473456
TMEM198,3.15E-05,3.08E-06,-4.852088,3.784672,-0.16093721
KIAA0152,3.16E-05,3.09E-06,-4.8512737,3.781267,-0.28011535
MRPL52,3.17E-05,3.10E-06,4.8507836,3.779218,0.19105739
SAMD13,3.17E-05,3.10E-06,4.8504968,3.778019,0.12844576
EDIL3,3.19E-05,3.12E-06,4.8488627,3.771189,0.22722529
LOC652545,3.19E-05,3.12E-06,-4.8492585,3.772843,-0.27332098
AKAP11,3.20E-05,3.13E-06,4.8485745,3.769985,0.15833006
LRRC8D,3.20E-05,3.14E-06,-4.8479702,3.767459,-0.20747372
UBTD2,3.20E-05,3.13E-06,-4.8484895,3.76963,-0.11773217
YIPF3,3.20E-05,3.13E-06,-4.8482459,3.768612,-0.2642394
SRPK1,3.21E-05,3.14E-06,-4.8476255,3.766019,-0.17346478
DBN1,3.25E-05,3.18E-06,-4.8446454,3.75357,-0.31764044
HECW2,3.31E-05,3.24E-06,4.8404563,3.736079,0.3786609
C14ORF2,3.32E-05,3.25E-06,4.8396675,3.732787,0.29020683
HS.537004,3.32E-05,3.26E-06,4.8390448,3.730189,0.21880519
NPHP1,3.33E-05,3.26E-06,4.838753,3.728971,0.07548727
RIOK2,3.33E-05,3.27E-06,4.8383301,3.727206,0.19436276
HS.50925,3.35E-05,3.28E-06,4.8374335,3.723466,0.122871
HS.91389,3.35E-05,3.29E-06,-4.8368422,3.720999,-0.18208412
LOC642299,3.35E-05,3.29E-06,4.8370345,3.721801,0.23083953
FAM50B,3.36E-05,3.30E-06,4.8362227,3.718414,0.27726516
LEPR,3.39E-05,3.33E-06,4.8338816,3.708651,0.199619
ZFYVE16,3.44E-05,3.38E-06,4.8308491,3.696009,0.15684651
MAGED2,3.45E-05,3.39E-06,4.8301695,3.693177,0.17601499
CHODL,3.46E-05,3.40E-06,4.8292192,3.689216,0.18233292
MARCKSL1,3.46E-05,3.40E-06,-4.8290176,3.688376,-0.344289
U2AF1L4,3.46E-05,3.41E-06,4.8288582,3.687712,0.16305851
C1S,3.47E-05,3.41E-06,-4.8283366,3.685539,-0.39877344
CRISPLD1,3.49E-05,3.44E-06,4.8269072,3.679584,0.10807434
SNAP23,3.51E-05,3.46E-06,4.8254193,3.673387,0.24836538
FAM33A,3.53E-05,3.48E-06,4.8238706,3.666938,0.16836581
GNL3,3.53E-05,3.47E-06,-4.8245419,3.669733,-0.29033417
MMP15,3.54E-05,3.49E-06,4.823251,3.664358,0.3098918
SGPL1,3.54E-05,3.48E-06,-4.8236288,3.665932,-0.13230712
EIF4A3,3.55E-05,3.50E-06,-4.8228336,3.662621,-0.17169594
NDRG2,3.56E-05,3.51E-06,-4.8221896,3.65994,-0.4752533
GCNT3,3.58E-05,3.54E-06,-4.8202226,3.651754,-0.20953294
GOLGA4,3.58E-05,3.53E-06,4.8208978,3.654563,0.20914069
RPAIN,3.59E-05,3.54E-06,4.8201458,3.651434,0.21046003
KCNT2,3.60E-05,3.56E-06,4.8188042,3.645852,0.13337213
THY1,3.66E-05,3.61E-06,4.8153871,3.631639,0.62962986
CADPS2,3.70E-05,3.65E-06,-4.8127285,3.620586,-0.23167133
ANKRD23,3.72E-05,3.68E-06,4.8110824,3.613745,0.36659901
BTRC,3.72E-05,3.68E-06,4.8110886,3.613771,0.19347267
LOC650695,3.73E-05,3.69E-06,-4.8104433,3.611089,-0.13523993
PAWR,3.75E-05,3.71E-06,-4.8092378,3.606081,-0.21226457
CDC5L,3.76E-05,3.72E-06,4.8082288,3.601889,0.24797596
CRKL,3.76E-05,3.72E-06,-4.8086128,3.603485,-0.21144049
LMNB1,3.76E-05,3.72E-06,-4.8086948,3.603825,-0.12681498
GTF3C3,3.79E-05,3.75E-06,4.8064916,3.594675,0.18121319
C4ORF27,3.80E-05,3.76E-06,4.8057082,3.591421,0.16810752
GPR162,3.80E-05,3.76E-06,-4.8059745,3.592527,-0.21861099
TGFB1I1,3.80E-05,3.76E-06,-4.8061064,3.593075,-0.22357598
C20ORF194,3.81E-05,3.78E-06,4.8050756,3.588795,0.14652012
ACVR2A,3.87E-05,3.84E-06,4.8013747,3.573434,0.14466217
PPP2R3C,3.88E-05,3.84E-06,4.8010426,3.572056,0.20756603
PGLS,3.91E-05,3.88E-06,-4.7989038,3.563183,-0.27080149
PLXNA3,3.93E-05,3.89E-06,-4.7979983,3.559427,-0.24982328
WIPI1,3.93E-05,3.90E-06,4.7977788,3.558517,0.29733435
ELP4,3.94E-05,3.91E-06,4.7967104,3.554086,0.16803266
EP300,3.94E-05,3.91E-06,4.7970322,3.555421,0.17762405
C11ORF54,3.95E-05,3.92E-06,4.7960841,3.551489,0.20379516
ANXA1,3.99E-05,3.96E-06,-4.7940489,3.543053,-0.38117372
FOXK2,4.00E-05,3.98E-06,-4.793079,3.539033,-0.112197
CLEC5A,4.01E-05,3.99E-06,-4.7925181,3.536709,-0.186063
ZNF462,4.01E-05,3.99E-06,4.7923314,3.535935,0.28881944
GRB10,4.02E-05,3.99E-06,4.7920072,3.534591,0.15622056
HS.134626,4.02E-05,3.99E-06,4.7920205,3.534646,0.136789
LSM7,4.02E-05,3.99E-06,-4.7919736,3.534452,-0.26988173
SNORD108,4.04E-05,4.02E-06,4.7904982,3.52834,0.1341659
PANK2,4.05E-05,4.03E-06,-4.790195,3.527083,-0.13583615
NMD3,4.07E-05,4.05E-06,4.7889231,3.521815,0.23280758
FABP3,4.10E-05,4.08E-06,4.7868678,3.513304,0.38301833
MGC71993,4.10E-05,4.08E-06,-4.7870746,3.514161,-0.18937914
PLEKHG1,4.11E-05,4.09E-06,-4.7864671,3.511645,-0.2195358
TP53I13,4.11E-05,4.10E-06,-4.7860295,3.509834,-0.37093081
PNMT,4.13E-05,4.12E-06,-4.7847539,3.504554,-0.155708
RB1CC1,4.16E-05,4.15E-06,4.7830953,3.49769,0.26763727
BCAM,4.17E-05,4.16E-06,4.7825078,3.495259,0.08739249
MLH1,4.17E-05,4.16E-06,4.7827034,3.496068,0.31128166
DVL3,4.18E-05,4.18E-06,4.7815049,3.49111,0.29338624
KIT,4.18E-05,4.17E-06,4.7821117,3.49362,0.32229879
PDXP,4.18E-05,4.17E-06,4.7820888,3.493525,0.23002817
SLC25A16,4.18E-05,4.18E-06,4.781528,3.491205,0.16418245
TRIM32,4.18E-05,4.18E-06,4.7815858,3.491444,0.15412625
HINT2,4.20E-05,4.19E-06,4.7807066,3.487807,0.23957085
HNRNPU,4.20E-05,4.20E-06,-4.7802223,3.485804,-0.24446346
HSP90B1,4.20E-05,4.20E-06,-4.7805832,3.487297,-0.35210539
TES,4.20E-05,4.20E-06,-4.780202,3.48572,-0.13716187
ZBTB7B,4.23E-05,4.23E-06,-4.7785188,3.478759,-0.15727856
ZC3H6,4.24E-05,4.24E-06,4.7781249,3.47713,0.19506565
CRSP9,4.26E-05,4.27E-06,4.7766699,3.471115,0.14003967
LMAN2L,4.30E-05,4.31E-06,4.7743853,3.461672,0.22997203
LOC402176,4.30E-05,4.30E-06,-4.7747855,3.463326,-0.18426994
MFSD7,4.32E-05,4.33E-06,-4.7732508,3.456984,-0.15852408
FLJ39632,4.34E-05,4.34E-06,4.7725509,3.454092,0.10258256
EIF5A,4.35E-05,4.36E-06,-4.7717154,3.450641,-0.33590764
CAMK2G,4.37E-05,4.38E-06,4.7704062,3.445234,0.14767471
FDX1L,4.38E-05,4.39E-06,4.7700404,3.443723,0.17794724
TCEA1,4.40E-05,4.41E-06,4.7691542,3.440064,0.20250912
ITSN1,4.42E-05,4.44E-06,-4.7675376,3.433389,-0.19840049
PRKAA2,4.43E-05,4.44E-06,4.7673517,3.432622,0.34439515
PKIA,4.46E-05,4.48E-06,4.7653853,3.424506,0.26226207
HAS3,4.48E-05,4.50E-06,4.7641835,3.419547,0.11493424
HS.4892,4.48E-05,4.50E-06,4.7642472,3.41981,0.25522721
SHROOM4,4.49E-05,4.51E-06,-4.7639804,3.418709,-0.34187904
DHX33,4.50E-05,4.52E-06,-4.7630969,3.415064,-0.17282506
SLC43A3,4.51E-05,4.53E-06,-4.7627301,3.413551,-0.14164495
B3GAT3,4.52E-05,4.55E-06,-4.7619402,3.410292,-0.1745995
YOD1,4.53E-05,4.56E-06,4.7612515,3.407452,0.21013733
LOC144481,4.55E-05,4.57E-06,4.7606551,3.404993,0.16681213
MTERF,4.55E-05,4.58E-06,4.7603722,3.403826,0.11566909
VTN,4.57E-05,4.60E-06,4.7590996,3.398579,0.46761135
ATP11C,4.58E-05,4.61E-06,-4.7587157,3.396996,-0.13300317
DDX23,4.59E-05,4.62E-06,-4.7580564,3.394278,-0.20132759
RAPGEF3,4.59E-05,4.62E-06,-4.7581815,3.394794,-0.1699083
CYB561D2,4.61E-05,4.65E-06,-4.7568777,3.38942,-0.16205915
CORO1C,4.63E-05,4.66E-06,-4.7560932,3.386187,-0.32198575
SHPRH,4.63E-05,4.66E-06,4.7559949,3.385782,0.11445008
HDAC2,4.64E-05,4.68E-06,4.7553414,3.383089,0.22723605
CHMP1B,4.67E-05,4.71E-06,-4.7534921,3.37547,-0.23031694
NAP1L1,4.67E-05,4.71E-06,4.7535584,3.375743,0.21794383
FBXL20,4.68E-05,4.72E-06,4.7529956,3.373425,0.17734463
THAP1,4.68E-05,4.72E-06,4.7529307,3.373158,0.16749608
PPP1R8,4.70E-05,4.75E-06,4.7517678,3.368368,0.10076281
SELE,4.70E-05,4.75E-06,-4.7519208,3.368999,-0.20257242
STBD1,4.70E-05,4.75E-06,-4.7518101,3.368543,-0.31748879
HEXIM2,4.72E-05,4.76E-06,4.751058,3.365445,0.17272545
IARS2,4.78E-05,4.83E-06,4.7477359,3.35177,0.23883135
C1ORF216,4.85E-05,4.91E-06,-4.7441914,3.337186,-0.18440521
PCDHB15,4.85E-05,4.90E-06,-4.7443182,3.337708,-0.14617859
MTCP1,4.86E-05,4.92E-06,4.7436801,3.335083,0.23134186
ABCA5,4.87E-05,4.93E-06,4.7432147,3.333169,0.11859371
CCDC43,4.88E-05,4.93E-06,4.7428576,3.331701,0.24673473
BNIP3,4.90E-05,4.96E-06,4.7415015,3.326124,0.26894803
GNPTAB,4.91E-05,4.97E-06,4.7410921,3.324441,0.17667316
C1QL1,4.93E-05,5.00E-06,-4.7398243,3.319229,-0.15200925
LZTR1,4.93E-05,4.99E-06,-4.7402475,3.320969,-0.23808195
PLEKHO1,4.94E-05,5.00E-06,-4.7396639,3.31857,-0.38856697
BMP7,4.97E-05,5.04E-06,-4.7379346,3.311462,-0.28344742
CYP1B1,4.98E-05,5.05E-06,-4.737396,3.309249,-0.65519443
SPAG7,4.99E-05,5.05E-06,4.7371861,3.308387,0.25174367
NPEPL1,5.02E-05,5.09E-06,4.7355711,3.301752,0.24826558
LOC642333,5.03E-05,5.10E-06,4.7350971,3.299805,0.34629907
PSME2,5.03E-05,5.10E-06,-4.7349442,3.299177,-0.40617863
SPATA5L1,5.04E-05,5.12E-06,4.7341962,3.296105,0.21259081
ADSSL1,5.06E-05,5.13E-06,4.7335605,3.293494,0.34105902
AIG1,5.06E-05,5.13E-06,4.7336271,3.293767,0.35440514
HS.179213,5.06E-05,5.14E-06,4.7333779,3.292744,0.44363944
BMPR2,5.07E-05,5.15E-06,4.7328601,3.290618,0.16109577
PSMB3,5.07E-05,5.15E-06,-4.7327319,3.290092,-0.16825331
HS.125695,5.08E-05,5.17E-06,4.7320318,3.287217,0.14182104
PPP1R14A,5.08E-05,5.17E-06,-4.732096,3.287481,-0.30239409
HS.565701,5.10E-05,5.18E-06,4.7313145,3.284272,0.12894211
AHCY,5.12E-05,5.21E-06,-4.729897,3.278454,-0.22396841
C14ORF131,5.12E-05,5.21E-06,4.7301162,3.279354,0.24371844
TMEM27,5.15E-05,5.24E-06,4.7286069,3.27316,0.16344804
EVI2B,5.16E-05,5.26E-06,-4.7279661,3.27053,-0.18946192
MYL5,5.16E-05,5.25E-06,4.7282095,3.271529,0.26701204
REPS1,5.16E-05,5.26E-06,4.7279775,3.270577,0.15076668
RPS6KA2,5.16E-05,5.25E-06,-4.7283873,3.272259,-0.24470419
RUNDC2A,5.16E-05,5.26E-06,-4.7278629,3.270107,-0.1180108
SEPP1,5.16E-05,5.25E-06,4.7282174,3.271561,0.38550201
SRRP35,5.18E-05,5.28E-06,-4.7268487,3.265946,-0.15026983
GPSM3,5.19E-05,5.29E-06,-4.7263663,3.263967,-0.23485921
SH2D5,5.19E-05,5.29E-06,-4.7264569,3.264339,-0.18748466
CHUK,5.20E-05,5.31E-06,-4.7258276,3.261757,-0.18036633
SCG2,5.21E-05,5.32E-06,4.725294,3.259569,0.40679955
WDR67,5.21E-05,5.32E-06,4.7251779,3.259093,0.22028288
