"","ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","symbol"
"LINC00471","1552979_at",0.1555757,0.0167,2.66,-3.31538,1.3575935,"LINC00471","long intergenic non-protein coding RNA 471","LINC00471"
"TMEM50B","231696_x_at",0.1555757,0.0167,2.66,-3.31539,0.49450943,"TMEM50B","transmembrane protein 50B","TMEM50B"
"TMEM260","225675_at",0.1555757,0.0167,2.66,-3.31587,0.6268642,"TMEM260","transmembrane protein 260","TMEM260"
"TMCO2","231264_at",0.1556252,0.0167,-2.66,-3.31676,-1.01939981,"TMCO2","transmembrane and coiled-coil domains 2","TMCO2"
"SLC2A1","201249_at",0.1559629,0.0168,-2.65,-3.31936,-0.68396484,"SLC2A1","solute carrier family 2 member 1","SLC2A1"
"TMEM144","1558452_at",0.1559994,0.0168,2.65,-3.31973,0.64744118,"TMEM144","transmembrane protein 144","TMEM144"
"TM7SF3","217974_at",0.1560485,0.0168,2.65,-3.32026,0.85005977,"TM7SF3","transmembrane 7 superfamily member 3","TM7SF3"
"FCRL1","243968_x_at",0.1560485,0.0168,-2.65,-3.32033,-1.40479122,"FCRL1","Fc receptor like 1","FCRL1"
"LOC100287015","233174_at",0.1562859,0.0169,2.65,-3.32234,1.40556564,"LOC100287015","uncharacterized LOC100287015","LOC100287015"
"SLFN5","230383_x_at",0.1563115,0.0169,2.65,-3.3228,0.48883723,"SLFN5","schlafen family member 5","SLFN5"
"TBX2","213417_at",0.1564309,0.0169,-2.65,-3.32387,-1.45381406,"TBX2","T-box 2","TBX2"
"SNAI1","219480_at",0.1564309,0.0169,-2.65,-3.32411,-1.59687673,"SNAI1","snail family transcriptional repressor 1","SNAI1"
"IFNB1","208173_at",0.1564508,0.0169,2.65,-3.32438,1.32724026,"IFNB1","interferon beta 1","IFNB1"
"MAPK1IP1L","212644_s_at",0.1564579,0.0169,-2.65,-3.32458,-0.4117858,"MAPK1IP1L","mitogen-activated protein kinase 1 interacting protein 1 like","MAPK1IP1L"
"BAHD1","203051_at",0.1565833,0.0169,-2.65,-3.32547,-0.60533105,"BAHD1","bromo adjacent homology domain containing 1","BAHD1"
"RRP1","218758_s_at",0.1565933,0.0169,-2.65,-3.32568,-0.85322081,"RRP1","ribosomal RNA processing 1","RRP1"
"PRKACB","202741_at",0.1566455,0.0169,2.65,-3.32614,0.49920307,"PRKACB","protein kinase cAMP-activated catalytic subunit beta","PRKACB"
"PTCH1","238754_at",0.15666,0.0169,2.65,-3.32638,0.75250026,"PTCH1","patched 1","PTCH1"
"TRIM13","1569142_at",0.1566672,0.0169,-2.65,-3.32658,-1.56259209,"TRIM13","tripartite motif containing 13","TRIM13"
"SCAMP1-AS1","238039_at",0.1567883,0.0169,2.65,-3.32759,0.72560714,"SCAMP1-AS1","SCAMP1 antisense RNA 1","SCAMP1-AS1"
"SETBP1","227478_at",0.1567941,0.017,2.65,-3.32778,0.59637062,"SETBP1","SET binding protein 1","SETBP1"
"MTRF1","242996_at",0.1568092,0.017,2.65,-3.3281,1.64437216,"MTRF1","mitochondrial translational release factor 1","MTRF1"
"KLHL22","222141_at",0.1568092,0.017,-2.65,-3.32827,-0.70765368,"KLHL22","kelch like family member 22","KLHL22"
"DCHS2","220373_at",0.1568926,0.017,2.65,-3.32897,0.89759935,"DCHS2","dachsous cadherin-related 2","DCHS2"
"CAND1","208839_s_at",0.1570107,0.017,2.65,-3.32985,0.4028152,"CAND1","cullin associated and neddylation dissociated 1","CAND1"
"CFI","203854_at",0.1570107,0.017,2.65,-3.32997,0.94689796,"CFI","complement factor I","CFI"
"VPS37C","1560059_at",0.1570593,0.017,-2.65,-3.33041,-1.00991346,"VPS37C","VPS37C, ESCRT-I subunit","VPS37C"
"TXNDC15","220495_s_at",0.1570593,0.017,2.65,-3.33071,0.37951284,"TXNDC15","thioredoxin domain containing 15","TXNDC15"
"MRPL40","203152_at",0.1571159,0.017,2.65,-3.33146,0.37331378,"MRPL40","mitochondrial ribosomal protein L40","MRPL40"
"TMEM238","229938_at",0.1571159,0.017,-2.65,-3.33151,-1.4202971,"TMEM238","transmembrane protein 238","TMEM238"
"GTDC1","220853_at",0.1571602,0.017,2.65,-3.33192,0.56254731,"GTDC1","glycosyltransferase like domain containing 1","GTDC1"
"CTDSPL2","223270_at",0.1572008,0.017,2.65,-3.33262,0.46494948,"CTDSPL2","CTD small phosphatase like 2","CTDSPL2"
"LINC01622","1557618_at",0.1572677,0.0171,2.65,-3.33332,1.06810342,"LINC01622","long intergenic non-protein coding RNA 1622","LINC01622"
"CPXM1","227860_at",0.1572677,0.0171,-2.65,-3.33362,-1.12815388,"CPXM1","carboxypeptidase X, M14 family member 1","CPXM1"
"AQP1","209047_at",0.15734,0.0171,2.65,-3.33435,0.84712578,"AQP1","aquaporin 1 (Colton blood group)","AQP1"
"RPP25L","225403_at",0.1573479,0.0171,2.65,-3.33459,0.41789136,"RPP25L","ribonuclease P/MRP subunit p25 like","RPP25L"
"CSNK2A1","212073_at",0.1573479,0.0171,-2.65,-3.33473,-0.59481602,"CSNK2A1","casein kinase 2 alpha 1","CSNK2A1"
"LINC00700","1564209_at",0.1573479,0.0171,2.65,-3.33486,0.61085548,"LINC00700","long intergenic non-protein coding RNA 700","LINC00700"
"SCRN2","225513_at",0.1574296,0.0171,-2.65,-3.33608,-0.8668455,"SCRN2","secernin 2","SCRN2"
"PIGK","209707_at",0.1574509,0.0171,2.65,-3.3367,0.67829531,"PIGK","phosphatidylinositol glycan anchor biosynthesis class K","PIGK"
"LOC101926887","236156_at",0.1574509,0.0171,2.65,-3.3368,0.99469895,"LOC101926887///LIPA","uncharacterized LOC101926887///lipase A, lysosomal acid type","LOC101926887"
"KCNMB1","209948_at",0.1574509,0.0171,2.65,-3.33694,0.60361702,"KCNMB1","potassium calcium-activated channel subfamily M regulatory beta subunit 1","KCNMB1"
"LOC101928446","1562274_at",0.1574509,0.0171,-2.65,-3.33704,-1.09923205,"LOC101928446","uncharacterized LOC101928446","LOC101928446"
"SMAD4","235725_at",0.1574509,0.0171,-2.65,-3.33723,-0.40855935,"SMAD4","SMAD family member 4","SMAD4"
"LOC100507564","1556048_at",0.1574509,0.0171,2.65,-3.3373,0.48785329,"LOC100507564","uncharacterized LOC100507564","LOC100507564"
"IGLL5","234364_at",0.1575009,0.0171,2.64,-3.33784,1.03096383,"IGLL5///IGLV@","immunoglobulin lambda like polypeptide 5///immunoglobulin lambda variable cluster","IGLL5"
"RHOBTB2","209441_at",0.1575009,0.0171,-2.64,-3.33796,-1.39142494,"RHOBTB2","Rho related BTB domain containing 2","RHOBTB2"
"KLF14","1552813_at",0.1575009,0.0171,2.64,-3.33805,0.63443163,"KLF14","Kruppel like factor 14","KLF14"
"DKK3","221127_s_at",0.1575633,0.0172,-2.64,-3.33872,-0.70726301,"DKK3","dickkopf WNT signaling pathway inhibitor 3","DKK3"
"AKIRIN2","223143_s_at",0.1575633,0.0172,-2.64,-3.33887,-0.62705866,"AKIRIN2","akirin 2","AKIRIN2"
"CARTPT","206339_at",0.1575714,0.0172,-2.64,-3.33927,-1.40593554,"CARTPT","CART prepropeptide","CARTPT"
"LOC101929153","1557787_at",0.1575714,0.0172,2.64,-3.33929,1.33463386,"LOC101929153","uncharacterized LOC101929153","LOC101929153"
"LOC100506248","200772_x_at",0.1575714,0.0172,2.64,-3.33946,0.57778918,"LOC100506248///MIR1244-2///MIR1244-3///MIR1244-1///LOC728026///PTMA","prothymosin alpha///microRNA 1244-2///microRNA 1244-3///microRNA 1244-1///prothymosin alpha-like///prothymosin, alpha","LOC100506248"
"RUBCN","1554612_at",0.1575714,0.0172,-2.64,-3.33953,-1.26194455,"RUBCN","RUN and cysteine rich domain containing beclin 1 interacting protein","RUBCN"
"ZNF396","1555166_a_at",0.1579467,0.0172,2.64,-3.3428,1.2588351,"ZNF396","zinc finger protein 396","ZNF396"
"SSH1","221753_at",0.1579467,0.0172,-2.64,-3.34291,-0.79752192,"SSH1","slingshot protein phosphatase 1","SSH1"
"STX1A","204729_s_at",0.1579467,0.0172,-2.64,-3.34299,-0.88311519,"STX1A","syntaxin 1A","STX1A"
"UFSP2","218449_at",0.1579467,0.0172,2.64,-3.34308,0.37098399,"UFSP2","UFM1 specific peptidase 2","UFSP2"
"C5orf45","220341_s_at",0.1580684,0.0173,2.64,-3.34429,0.90925856,"C5orf45","chromosome 5 open reading frame 45","C5orf45"
"PLD1","232530_at",0.1580684,0.0173,-2.64,-3.34501,-1.71253029,"PLD1","phospholipase D1","PLD1"
"TRAF3","221571_at",0.1581881,0.0173,-2.64,-3.34623,-0.58221505,"TRAF3","TNF receptor associated factor 3","TRAF3"
"LARP4","238960_s_at",0.1581881,0.0173,-2.64,-3.34631,-0.77087498,"LARP4","La ribonucleoprotein domain family member 4","LARP4"
"SMIM17","1557430_at",0.1582751,0.0173,-2.64,-3.34697,-0.60394916,"SMIM17","small integral membrane protein 17","SMIM17"
"JMJD7","222256_s_at",0.1583916,0.0173,2.64,-3.34779,0.42794255,"JMJD7///JMJD7-PLA2G4B","jumonji domain containing 7///JMJD7-PLA2G4B readthrough","JMJD7"
"RUNDC1","226298_at",0.1584087,0.0173,-2.64,-3.34804,-0.40677676,"RUNDC1","RUN domain containing 1","RUNDC1"
"CENPU","229304_s_at",0.1584856,0.0173,2.64,-3.34869,0.63570597,"CENPU","centromere protein U","CENPU"
"POLD1","203422_at",0.1584856,0.0173,-2.64,-3.3489,-0.77477383,"POLD1","DAN polymerase delta 1, catalytic subunit","POLD1"
"ADAMTS9","1554697_at",0.1584856,0.0174,-2.64,-3.34909,-1.54773171,"ADAMTS9","ADAM metallopeptidase with thrombospondin type 1 motif 9","ADAMTS9"
"SNRPD2","200826_at",0.1584856,0.0174,2.64,-3.34917,0.30568607,"SNRPD2","small nuclear ribonucleoprotein D2 polypeptide","SNRPD2"
"SHMT1","231701_s_at",0.1585748,0.0174,-2.64,-3.35022,-1.22182223,"SHMT1","serine hydroxymethyltransferase 1","SHMT1"
"MBTPS1","201620_at",0.1586527,0.0174,-2.64,-3.35082,-0.41995062,"MBTPS1","membrane bound transcription factor peptidase, site 1","MBTPS1"
"APLF","241379_at",0.1588302,0.0174,2.64,-3.35209,0.50917551,"APLF","aprataxin and PNKP like factor","APLF"
"COL22A1","242326_at",0.1588302,0.0174,2.64,-3.35266,0.54325575,"COL22A1","collagen type XXII alpha 1 chain","COL22A1"
"PRMT2","228725_x_at",0.1588302,0.0174,2.64,-3.35287,0.5238493,"PRMT2","protein arginine methyltransferase 2","PRMT2"
"CABS1","231612_at",0.1589055,0.0174,2.64,-3.35349,0.64939193,"CABS1","calcium binding protein, spermatid associated 1","CABS1"
"GATA4","243692_at",0.1589521,0.0174,-2.64,-3.35424,-0.646756,"GATA4","GATA binding protein 4","GATA4"
"SFPQ","201585_s_at",0.1589692,0.0175,-2.64,-3.35462,-0.54523544,"SFPQ","splicing factor proline and glutamine rich","SFPQ"
"PTCD3","228590_at",0.1590307,0.0175,2.64,-3.35512,0.7471064,"PTCD3","pentatricopeptide repeat domain 3","PTCD3"
"CDK6","224851_at",0.1590512,0.0175,-2.64,-3.35576,-0.9789611,"CDK6","cyclin dependent kinase 6","CDK6"
"HELZ2","232787_at",0.1590512,0.0175,2.64,-3.35598,0.50736238,"HELZ2","helicase with zinc finger 2","HELZ2"
"FMR1","215245_x_at",0.1590512,0.0175,2.64,-3.35617,0.45751149,"FMR1","fragile X mental retardation 1","FMR1"
"RNASEH2B","219056_at",0.1590512,0.0175,2.64,-3.35618,0.58582677,"RNASEH2B","ribonuclease H2 subunit B","RNASEH2B"
"EDN3","208399_s_at",0.1590512,0.0175,2.64,-3.35644,1.88386867,"EDN3","endothelin 3","EDN3"
"BPY2","208331_at",0.1590661,0.0175,2.63,-3.35734,0.88653464,"BPY2","basic charge, Y-linked, 2","BPY2"
"HIST1H3I","214509_at",0.1590661,0.0175,2.63,-3.35757,1.13271136,"HIST1H3I","histone cluster 1, H3i","HIST1H3I"
"APITD1-CORT","213454_at",0.1590661,0.0175,2.63,-3.35768,0.73552635,"APITD1-CORT///APITD1","APITD1-CORT readthrough///apoptosis-inducing, TAF9-like domain 1","APITD1-CORT"
"LOC100507353","1558945_s_at",0.1590661,0.0175,2.63,-3.35771,1.17687621,"LOC100507353///CACNA1A","uncharacterized LOC100507353///calcium voltage-gated channel subunit alpha1 A","LOC100507353"
"CASKIN2","61297_at",0.1590661,0.0175,-2.63,-3.35782,-0.52853936,"CASKIN2","CASK interacting protein 2","CASKIN2"
"FGFBP1","205014_at",0.1590661,0.0175,2.63,-3.35785,1.08889268,"FGFBP1","fibroblast growth factor binding protein 1","FGFBP1"
"FTSJ1","213937_s_at",0.1590661,0.0175,-2.63,-3.35791,-0.86913593,"FTSJ1","FtsJ RNA methyltransferase homolog 1 (E. coli)","FTSJ1"
"DOT1L","231297_at",0.1590888,0.0175,-2.63,-3.35834,-1.3222781,"DOT1L","DOT1 like histone lysine methyltransferase","DOT1L"
"MTMR2","203212_s_at",0.1590933,0.0175,-2.63,-3.35852,-0.6160174,"MTMR2","myotubularin related protein 2","MTMR2"
"FBN3","240117_at",0.1591666,0.0175,-2.63,-3.35909,-1.4720648,"FBN3","fibrillin 3","FBN3"
"CTBP1","1557714_at",0.1591913,0.0175,-2.63,-3.35938,-0.70363225,"CTBP1","C-terminal binding protein 1","CTBP1"
"VNN2","205922_at",0.1592158,0.0176,-2.63,-3.35996,-1.54651075,"VNN2","vanin 2","VNN2"
"CTSH","202295_s_at",0.1592158,0.0176,2.63,-3.36008,0.68166704,"CTSH","cathepsin H","CTSH"
"VTI1B","225928_at",0.1592158,0.0176,2.63,-3.36018,0.50406655,"VTI1B","vesicle transport through interaction with t-SNAREs 1B","VTI1B"
"MAGI2-AS3","227554_at",0.1592158,0.0176,2.63,-3.36033,0.45920323,"MAGI2-AS3","MAGI2 antisense RNA 3","MAGI2-AS3"
"TCEAL4","202371_at",0.1592158,0.0176,2.63,-3.36057,0.39334705,"TCEAL4","transcription elongation factor A like 4","TCEAL4"
"HOXC-AS3","1561273_at",0.1592158,0.0176,2.63,-3.36058,0.55254821,"HOXC-AS3","HOXC cluster antisense RNA 3","HOXC-AS3"
"EFEMP2","209356_x_at",0.1592163,0.0176,2.63,-3.361,0.42092831,"EFEMP2","EGF containing fibulin like extracellular matrix protein 2","EFEMP2"
"IER5L","226559_at",0.1593209,0.0176,-2.63,-3.36189,-0.58679075,"IER5L","immediate early response 5 like","IER5L"
"LYPD3","204952_at",0.1593301,0.0176,-2.63,-3.3623,-1.12306384,"LYPD3","LY6/PLAUR domain containing 3","LYPD3"
"ATP8B3","239457_at",0.1593538,0.0176,2.63,-3.36265,1.21709733,"ATP8B3","ATPase phospholipid transporting 8B3","ATP8B3"
"SEC16A","215696_s_at",0.1593538,0.0176,-2.63,-3.36273,-0.38136395,"SEC16A","SEC16 homolog A, endoplasmic reticulum export factor","SEC16A"
"CHML","1566337_x_at",0.1593585,0.0176,2.63,-3.36291,0.58022716,"CHML","CHM like, Rab escort protein 2","CHML"
"DPP7","238012_at",0.1593722,0.0176,2.63,-3.36314,0.4400816,"DPP7","dipeptidyl peptidase 7","DPP7"
"PPP1R13B","216347_s_at",0.1593841,0.0176,-2.63,-3.36336,-0.54917003,"PPP1R13B","protein phosphatase 1 regulatory subunit 13B","PPP1R13B"
"RET","205879_x_at",0.1594345,0.0176,2.63,-3.3638,0.47456858,"RET","ret proto-oncogene","RET"
"TAPT1","216373_at",0.1594817,0.0176,-2.63,-3.36422,-1.68814866,"TAPT1","transmembrane anterior posterior transformation 1","TAPT1"
"XYLB","208317_at",0.1594986,0.0176,2.63,-3.36447,1.21830401,"XYLB","xylulokinase","XYLB"
"MGP","202291_s_at",0.1595115,0.0177,2.63,-3.36469,0.63974352,"MGP","matrix Gla protein","MGP"
"LCAL1","1553413_at",0.1596297,0.0177,2.63,-3.36576,1.29179131,"LCAL1","lung cancer associated lncRNA 1","LCAL1"
"AA06","241552_at",0.1596297,0.0177,-2.63,-3.36611,-1.19362682,"AA06","uncharacterized LOC100506677","AA06"
"STARD7","200028_s_at",0.1596297,0.0177,-2.63,-3.36622,-0.50746618,"STARD7","StAR related lipid transfer domain containing 7","STARD7"
"C5orf34","229886_at",0.1596297,0.0177,2.63,-3.36641,0.63025276,"C5orf34","chromosome 5 open reading frame 34","C5orf34"
"SLC35F1","228060_at",0.1596297,0.0177,2.63,-3.36643,0.86179595,"SLC35F1","solute carrier family 35 member F1","SLC35F1"
"ARHGEF28","1559706_at",0.1597042,0.0177,2.63,-3.367,1.38672437,"ARHGEF28","Rho guanine nucleotide exchange factor 28","ARHGEF28"
"NSG1","209570_s_at",0.1599849,0.0177,-2.63,-3.36981,-1.36970328,"NSG1","neuron specific gene family member 1","NSG1"
"CNPPD1","207511_s_at",0.1599856,0.0178,-2.63,-3.37007,-0.77101502,"CNPPD1","cyclin Pas1/PHO80 domain containing 1","CNPPD1"
"LOC100287525","230606_at",0.1599965,0.0178,2.63,-3.37048,0.67455851,"LOC100287525","uncharacterized LOC100287525","LOC100287525"
"KRT12","207811_at",0.1602496,0.0178,2.63,-3.37358,1.1012786,"KRT12","keratin 12","KRT12"
"NR1H2","218215_s_at",0.1602496,0.0178,-2.63,-3.37361,-0.45487395,"NR1H2","nuclear receptor subfamily 1 group H member 2","NR1H2"
"GMPS","236648_at",0.1602496,0.0178,2.63,-3.37365,0.87872384,"GMPS","guanine monophosphate synthase","GMPS"
"SEMA4G","219194_at",0.1602496,0.0178,2.63,-3.37367,0.52185909,"SEMA4G","semaphorin 4G","SEMA4G"
"MAN2A2","202032_s_at",0.1602496,0.0178,-2.63,-3.37373,-0.54918633,"MAN2A2","mannosidase alpha class 2A member 2","MAN2A2"
"PGLYRP4","220944_at",0.1602496,0.0178,2.63,-3.37388,0.5089817,"PGLYRP4","peptidoglycan recognition protein 4","PGLYRP4"
"MCEE","226238_at",0.1602496,0.0178,2.63,-3.37402,0.38982839,"MCEE","methylmalonyl-CoA epimerase","MCEE"
"IL1R2","211372_s_at",0.1602663,0.0178,-2.63,-3.37471,-1.87978645,"IL1R2","interleukin 1 receptor type 2","IL1R2"
"TIMM50","224913_s_at",0.1602663,0.0178,-2.63,-3.37489,-0.39007489,"TIMM50","translocase of inner mitochondrial membrane 50","TIMM50"
"PCED1B","228298_at",0.1602663,0.0179,-2.63,-3.37506,-0.97248004,"PCED1B","PC-esterase domain containing 1B","PCED1B"
"DCUN1D5","223151_at",0.1602663,0.0179,-2.63,-3.37524,-0.42349301,"DCUN1D5","defective in cullin neddylation 1 domain containing 5","DCUN1D5"
"LPCAT2","227889_at",0.1602663,0.0179,2.63,-3.3754,0.65270808,"LPCAT2","lysophosphatidylcholine acyltransferase 2","LPCAT2"
"TMEM86A","238710_at",0.1602663,0.0179,-2.62,-3.37546,-0.55441783,"TMEM86A","transmembrane protein 86A","TMEM86A"
"GPN2","218799_at",0.1603279,0.0179,-2.62,-3.37624,-0.58815678,"GPN2","GPN-loop GTPase 2","GPN2"
"TBL3","209820_s_at",0.160396,0.0179,-2.62,-3.37695,-0.90140184,"TBL3","transducin beta like 3","TBL3"
"FAM184B","233823_at",0.1604034,0.0179,-2.62,-3.37732,-1.2435697,"FAM184B","family with sequence similarity 184 member B","FAM184B"
"CBY3","241712_at",0.1604034,0.0179,2.62,-3.37744,0.88549553,"CBY3","chibby family member 3","CBY3"
"MCF2L","220464_at",0.1604342,0.0179,-2.62,-3.37777,-0.70090862,"MCF2L","MCF.2 cell line derived transforming sequence like","MCF2L"
"PSPC1","222611_s_at",0.1604625,0.0179,-2.62,-3.37838,-0.49681833,"PSPC1","paraspeckle component 1","PSPC1"
"FAM53B-AS1","1559812_at",0.1604995,0.0179,2.62,-3.37893,1.15246861,"FAM53B-AS1","FAM53B antisense RNA 1","FAM53B-AS1"
"XAF1","206133_at",0.1604995,0.0179,2.62,-3.37911,0.82851678,"XAF1","XIAP associated factor 1","XAF1"
"CLUH","243258_at",0.1604995,0.0179,-2.62,-3.37948,-0.88229765,"CLUH","clustered mitochondria homolog","CLUH"
"C17orf51","228146_at",0.1604995,0.0179,-2.62,-3.37956,-1.0628494,"C17orf51","chromosome 17 open reading frame 51","C17orf51"
"C7orf34","1555757_at",0.1604995,0.0179,2.62,-3.37966,1.59046836,"C7orf34","chromosome 7 open reading frame 34","C7orf34"
"USP51","229278_at",0.1604995,0.0179,2.62,-3.37975,1.46906197,"USP51","ubiquitin specific peptidase 51","USP51"
"LINC00324","230012_at",0.1607857,0.018,2.62,-3.38171,0.60451751,"LINC00324","long intergenic non-protein coding RNA 324","LINC00324"
"CLPP","202799_at",0.1609813,0.018,-2.62,-3.38296,-0.40079387,"CLPP","caseinolytic mitochondrial matrix peptidase proteolytic subunit","CLPP"
"TBC1D15","218268_at",0.1611317,0.018,2.62,-3.38396,0.3964185,"TBC1D15","TBC1 domain family member 15","TBC1D15"
"LOC653160","236246_x_at",0.1612005,0.018,-2.62,-3.38458,-1.44531142,"LOC653160","uncharacterized LOC653160","LOC653160"
"C1RL","233645_s_at",0.1612005,0.018,-2.62,-3.38465,-1.01689126,"C1RL","complement C1r subcomponent like","C1RL"
"ZNF347","238819_at",0.1613349,0.0181,2.62,-3.38574,0.45877786,"ZNF347","zinc finger protein 347","ZNF347"
"SPTBN4","224551_s_at",0.1614273,0.0181,-2.62,-3.38694,-1.43416066,"SPTBN4","spectrin beta, non-erythrocytic 4","SPTBN4"
"TUFM","201113_at",0.1614273,0.0181,-2.62,-3.38698,-0.35821484,"TUFM","Tu translation elongation factor, mitochondrial","TUFM"
"CBARP","1552355_s_at",0.1614429,0.0181,2.62,-3.38734,0.68291455,"CBARP","CACN beta subunit associated regulatory protein","CBARP"
"C11orf44","1553417_at",0.1614429,0.0181,2.62,-3.38742,0.54910145,"C11orf44","chromosome 11 open reading frame 44","C11orf44"
"TEAD2","238323_at",0.1615726,0.0181,-2.62,-3.38839,-0.46334388,"TEAD2","TEA domain transcription factor 2","TEAD2"
"ARHGAP21","241701_at",0.1616541,0.0181,2.62,-3.38914,0.50810716,"ARHGAP21","Rho GTPase activating protein 21","ARHGAP21"
"LOC101927769","233784_at",0.1616541,0.0181,2.62,-3.38915,0.58985698,"LOC101927769","uncharacterized LOC101927769","LOC101927769"
"SLC35D1","209711_at",0.1617162,0.0181,-2.62,-3.38979,-0.36393347,"SLC35D1","solute carrier family 35 member D1","SLC35D1"
"ADGRG6","213094_at",0.1617162,0.0181,2.62,-3.38995,0.63537864,"ADGRG6","adhesion G protein-coupled receptor G6","ADGRG6"
"LOC339593","1564049_at",0.1617275,0.0182,-2.62,-3.39031,-1.08000562,"LOC339593","uncharacterized LOC339593","LOC339593"
"FOXP1","223936_s_at",0.1618657,0.0182,-2.62,-3.39156,-0.9645988,"FOXP1","forkhead box P1","FOXP1"
"TMEM216","223305_at",0.1618657,0.0182,2.62,-3.39165,0.34402469,"TMEM216","transmembrane protein 216","TMEM216"
"CYYR1","235044_at",0.1618657,0.0182,2.62,-3.39177,0.59886109,"CYYR1","cysteine and tyrosine rich 1","CYYR1"
"STAP1","1554343_a_at",0.1618657,0.0182,2.62,-3.39183,0.99207174,"STAP1","signal transducing adaptor family member 1","STAP1"
"USP46","203870_at",0.1618885,0.0182,2.62,-3.39211,0.66671487,"USP46","ubiquitin specific peptidase 46","USP46"
"CXCL2","230101_at",0.1619152,0.0182,2.62,-3.3926,0.83088205,"CXCL2","C-X-C motif chemokine ligand 2","CXCL2"
"LMO7DN","239553_at",0.1619152,0.0182,-2.62,-3.3927,-1.46921064,"LMO7DN","LMO7 downstream neighbor","LMO7DN"
"LILRA4","210313_at",0.16202,0.0182,2.62,-3.39374,1.22300967,"LILRA4","leukocyte immunoglobulin like receptor A4","LILRA4"
"MIR6785","222210_at",0.1620265,0.0182,-2.62,-3.39392,-1.50799036,"MIR6785///TMEM94","microRNA 6785///transmembrane protein 94","MIR6785"
"GATA5","238197_at",0.1620475,0.0182,2.62,-3.39419,1.74154351,"GATA5","GATA binding protein 5","GATA5"
"CDH15","206327_s_at",0.162145,0.0182,-2.61,-3.39488,-0.91280402,"CDH15","cadherin 15","CDH15"
"ELK3","221773_at",0.1622003,0.0183,2.61,-3.39534,0.47373637,"ELK3","ELK3, ETS transcription factor","ELK3"
"LRR1","242154_x_at",0.1622217,0.0183,-2.61,-3.39591,-1.01854585,"LRR1","leucine rich repeat protein 1","LRR1"
"BCOR","223916_s_at",0.1622275,0.0183,-2.61,-3.39609,-0.74247972,"BCOR","BCL6 corepressor","BCOR"
"OPHN1","206323_x_at",0.162233,0.0183,-2.61,-3.39636,-0.3959506,"OPHN1","oligophrenin 1","OPHN1"
"LOC100996741","1558588_at",0.162233,0.0183,2.61,-3.39685,1.05686487,"LOC100996741///LINC00869","uncharacterized LOC100996741///long intergenic non-protein coding RNA 869","LOC100996741"
"PGLYRP1","207384_at",0.162233,0.0183,2.61,-3.39685,1.00057841,"PGLYRP1","peptidoglycan recognition protein 1","PGLYRP1"
"MCL1","227175_at",0.162233,0.0183,-2.61,-3.39686,-0.51583957,"MCL1","BCL2 family apoptosis regulator","MCL1"
"LINC00543","232448_at",0.1622482,0.0183,2.61,-3.39716,1.16639276,"LINC00543","long intergenic non-protein coding RNA 543","LINC00543"
"KHDRBS1","201488_x_at",0.1622482,0.0183,2.61,-3.39731,0.54930882,"KHDRBS1","KH RNA binding domain containing, signal transduction associated 1","KHDRBS1"
"PSIP1","205961_s_at",0.1622482,0.0183,2.61,-3.39743,0.65191766,"PSIP1","PC4 and SFRS1 interacting protein 1","PSIP1"
"SUB1","237784_at",0.1622482,0.0183,2.61,-3.39754,0.81991427,"SUB1","SUB1 homolog, transcriptional regulator","SUB1"
"DSE","1557560_at",0.1622545,0.0183,2.61,-3.39772,0.72472741,"DSE","dermatan sulfate epimerase","DSE"
"NPLOC4","217796_s_at",0.1622583,0.0183,-2.61,-3.39817,-0.45488057,"NPLOC4","NPL4 homolog, ubiquitin recognition factor","NPLOC4"
"HMGCLL1","232305_at",0.1623719,0.0183,2.61,-3.39912,0.82596777,"HMGCLL1","3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1","HMGCLL1"
"PRL","205445_at",0.1624493,0.0183,2.61,-3.3997,0.48906943,"PRL","prolactin","PRL"
"SUMO1","208761_s_at",0.1624983,0.0184,2.61,-3.40071,0.37655539,"SUMO1","small ubiquitin-like modifier 1","SUMO1"
"CNPY4","227313_at",0.1625168,0.0184,2.61,-3.4012,0.43143096,"CNPY4","canopy FGF signaling regulator 4","CNPY4"
"CLEC4A","221724_s_at",0.1625168,0.0184,2.61,-3.40126,1.29056477,"CLEC4A","C-type lectin domain family 4 member A","CLEC4A"
"CELP","207412_x_at",0.1626448,0.0184,2.61,-3.40213,0.49459382,"CELP","carboxyl ester lipase pseudogene","CELP"
"TTLL12","216251_s_at",0.1626755,0.0184,-2.61,-3.40273,-0.41472637,"TTLL12","tubulin tyrosine ligase like 12","TTLL12"
"UBIAD1","230474_at",0.1626755,0.0184,-2.61,-3.40286,-1.2609622,"UBIAD1","UbiA prenyltransferase domain containing 1","UBIAD1"
"IGLJ3","211798_x_at",0.1626755,0.0184,2.61,-3.40289,1.06960464,"IGLJ3","immunoglobulin lambda joining 3","IGLJ3"
"ARRB1","228444_at",0.1627137,0.0184,-2.61,-3.40325,-1.16799424,"ARRB1","arrestin beta 1","ARRB1"
"PEX10","206352_s_at",0.1627144,0.0184,-2.61,-3.40344,-0.99664361,"PEX10","peroxisomal biogenesis factor 10","PEX10"
"SLC16A9","227506_at",0.1627144,0.0184,2.61,-3.40438,1.12339823,"SLC16A9","solute carrier family 16 member 9","SLC16A9"
